ARRIVAL DATE,ARRIVAL TIME (if avail),TERMINAL,SHIP NAME,LAST PORT OF CALL (if avail),PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL, Incoming (Multiply metric tons by 7.5 for approx bbls)","PRODUCT AMOUNT - OIL, Outgoing",RUNNING TOTAL (Oil),PRODUCT TYPE - NON-OIL,"PRODUCT AMOUNT - NON OIL, Incoming","PRODUCT AMOUNT - NON OIL, Outgoing",Running Total (Specify units) (Non-Oil),Year,Month,Day,Month_name
1/2/20,,Citgo,New England,St.John,  Unleaded Gasoline,80000,0,80000,,0,0,0,2020,1,2,Jan
1/2/20,,Citgo,New England,St.John,  Premium Unleaded Gasoline,20000,0,100000,,0,0,0,2020,1,2,Jan
1/2/20,,Citgo,New England,St.John,  Diesel (aka ULSD),22000,0,122000,,0,0,0,2020,1,2,Jan
1/2/20,,Citgo,New England,St.John,  Unleaded Gasoline,60000,0,182000,,0,0,0,2020,1,2,Jan
1/2/20,,Citgo,New England,St.John,  Unleaded Gasoline,20000,0,202000,,0,0,0,2020,1,2,Jan
1/2/20,,Citgo,New England,St.John,  Diesel (aka ULSD),20000,0,222000,,0,0,0,2020,1,2,Jan
1/5/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,10000,0,232000,,0,0,0,2020,1,5,Jan
1/5/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,40000,0,272000,,0,0,0,2020,1,5,Jan
1/5/20,,Buckeye,Noreaster,St.John,  Diesel (aka ULSD),16000,0,288000,,0,0,0,2020,1,5,Jan
1/5/20,,Buckeye,Noreaster,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",35000,0,323000,,0,0,0,2020,1,5,Jan
1/6/20,,Citgo,Noreaster,St.John,  Diesel (aka ULSD),35000,0,358000,,0,0,0,2020,1,6,Jan
1/6/20,,Citgo,Noreaster,St.John,  Unleaded Gasoline,114000,0,472000,,0,0,0,2020,1,6,Jan
1/6/20,,Citgo,Noreaster,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",10000,0,482000,,0,0,0,2020,1,6,Jan
1/8/20,,Buckeye,DBL-104,New Jersey,  Ethanol (aka E100),25000,0,507000,,0,0,0,2020,1,8,Jan
1/9/20,,Buckeye,RTC-82,New Jersey,"  2 Fuel Oil (aka FO, MGO, DMA)",15000,0,522000,,0,0,0,2020,1,9,Jan
1/10/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,43000,0,565000,,0,0,0,2020,1,10,Jan
1/10/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,20000,0,585000,,0,0,0,2020,1,10,Jan
1/10/20,,Buckeye,Noreaster,St.John,  Diesel (aka ULSD),25000,0,610000,,0,0,0,2020,1,10,Jan
1/10/20,,Buckeye,Noreaster,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",40000,0,650000,,0,0,0,2020,1,10,Jan
1/11/20,,Citgo,Noreaster,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",40000,0,690000,,0,0,0,2020,1,11,Jan
1/11/20,,Citgo,Noreaster,St.John,  Unleaded Gasoline,75000,0,765000,,0,0,0,2020,1,11,Jan
1/11/20,,Citgo,Noreaster,St.John,  Diesel (aka ULSD),20000,0,785000,,0,0,0,2020,1,11,Jan
1/13/20,,Gulf,RTC-107,New York,  Ethanol (aka E100),25000,0,810000,,0,0,0,2020,1,13,Jan
1/13/20,,Citgo,DBL-104,New York,  Ethanol (aka E100),27000,0,837000,,0,0,0,2020,1,13,Jan
1/14/20,,Citgo,Great Eastern ,St.John,  Unleaded Gasoline,70000,0,907000,,0,0,0,2020,1,14,Jan
1/14/20,,Citgo,Great Eastern ,St.John,  Unleaded Gasoline,35000,0,942000,,0,0,0,2020,1,14,Jan
1/15/20,,Gulf,DBL-102,New Jersey,  Diesel (aka ULSD),80000,0,1022000,,0,0,0,2020,1,15,Jan
1/15/20,,Buckeye,DBL-102,New York,"  2 Fuel Oil (aka FO, MGO, DMA)",20000,0,1042000,,0,0,0,2020,1,15,Jan
1/19/20,,Gulf,East Coast,St.John,  Unleaded Gasoline,10000,0,1052000,,0,0,0,2020,1,19,Jan
1/20/20,,Buckeye,East Coast,South Portland,  Premium Unleaded Gasoline,8000,0,1060000,,0,0,0,2020,1,20,Jan
1/20/20,,Buckeye,East Coast,South Portland,  Unleaded Gasoline,40000,0,1100000,,0,0,0,2020,1,20,Jan
1/20/20,,Buckeye,East Coast,South Portland,  Diesel (aka ULSD),10000,0,1110000,,0,0,0,2020,1,20,Jan
1/20/20,,Buckeye,East Coast,South Portland,"  2 Fuel Oil (aka FO, MGO, DMA)",43000,0,1153000,,0,0,0,2020,1,20,Jan
1/21/20,,Citgo,East Coast,St.John,  Unleaded Gasoline,35000,0,1188000,,0,0,0,2020,1,21,Jan
1/21/20,,Citgo,DBL-104,St.John,  Ethanol (aka E100),25000,0,1213000,,0,0,0,2020,1,21,Jan
1/21/20,,Citgo,East Coast,St.John,  Diesel (aka ULSD),35000,0,1248000,,0,0,0,2020,1,21,Jan
1/21/20,,Citgo,East Coast,St.John,  Unleaded Gasoline,95000,0,1343000,,0,0,0,2020,1,21,Jan
1/21/20,,Citgo,East Coast,St.John,  Unleaded Gasoline,24000,0,1367000,,0,0,0,2020,1,21,Jan
1/22/20,,Sprague,RTC-109,"Newington, NH",  Jet Fuel,20000,0,1387000,,0,0,0,2020,1,22,Jan
1/22/20,,Sprague,RTC-109,"Newington, NH",  1 Fuel Oil,20000,0,1407000,,0,0,0,2020,1,22,Jan
1/23/20,,Global ,New England,,"  2 Fuel Oil (aka FO, MGO, DMA)",363,0,1407363,,0,0,0,2020,1,23,Jan
1/24/20,,Gulf,Hafnia Lise,Canada,  Diesel (aka ULSD),50000,0,1457363,,0,0,0,2020,1,24,Jan
1/24/20,,Global ,Hafnia Lise,"Portland, Maine","  2 Fuel Oil (aka FO, MGO, DMA)",210000,0,1667363,,0,0,0,2020,1,24,Jan
1/25/20,,Gulf,DBL-104,St.John,  Unleaded Gasoline,100000,0,1767363,,0,0,0,2020,1,25,Jan
1/26/20,,Buckeye,Great Eastern ,St.John,  Premium Unleaded Gasoline,50000,0,1817363,,0,0,0,2020,1,26,Jan
1/26/20,,Buckeye,Great Eastern ,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",45000,0,1862363,,0,0,0,2020,1,26,Jan
1/26/20,,Buckeye,Great Eastern ,St.John,  Unleaded Gasoline,40000,0,1902363,,0,0,0,2020,1,26,Jan
1/27/20,,Global ,RTC-108,"Chelsea, MA",  1 Fuel Oil,20000,0,1922363,,0,0,0,2020,1,27,Jan
1/27/20,,Citgo,Great Eastern ,St.John,  Unleaded Gasoline,100000,0,2022363,,0,0,0,2020,1,27,Jan
1/27/20,,Citgo,Great Eastern ,St.John,  Diesel (aka ULSD),45000,0,2067363,,0,0,0,2020,1,27,Jan
1/28/20,,Global ,New England,,  6 Fuel Oil (aka IFO 380),3501,0,2070864,,0,0,0,2020,1,28,Jan
1/29/20,,Citgo,Acadian,St.John,  Unleaded Gasoline,100000,0,2170864,,0,0,0,2020,1,29,Jan
1/29/20,,Citgo,Acadian,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",25000,0,2195864,,0,0,0,2020,1,29,Jan
1/29/20,,Citgo,Acadian,St.John,  Diesel (aka ULSD),15000,0,2210864,,0,0,0,2020,1,29,Jan
2/1/20,,Citgo,DBL-104,"Boston, MA",  Ethanol (aka E100),20000,0,2230864,,0,0,0,2020,2,1,Feb
2/1/20,,Buckeye,DBL-104,New York,  Ethanol (aka E100),10000,0,2240864,,0,0,0,2020,2,1,Feb
2/3/20,,Buckeye,Noreaster,St.John,  Premium Unleaded Gasoline,18000,0,2258864,,0,0,0,2020,2,3,Feb
2/3/20,,Buckeye,DBL-102,"Perth Amboy, NJ","  2 Fuel Oil (aka FO, MGO, DMA)",15000,0,2273864,,0,0,0,2020,2,3,Feb
2/3/20,,Buckeye,Noreaster,St.John,  Diesel (aka ULSD),30000,0,2303864,,0,0,0,2020,2,3,Feb
2/3/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,27000,0,2330864,,0,0,0,2020,2,3,Feb
2/3/20,,Buckeye,Noreaster,St.John,  Unleaded Gasoline,35000,0,2365864,,0,0,0,2020,2,3,Feb
2/3/20,,Gulf,DBL-102,New Jersey,  Diesel (aka ULSD),60000,0,2425864,,0,0,0,2020,2,3,Feb
2/4/20,,Citgo,Noreaster,St.John,  Unleaded Gasoline,115000,0,2540864,,0,0,0,2020,2,4,Feb
2/4/20,,Citgo,Noreaster,St.John,  Unleaded Gasoline,14000,0,2554864,,0,0,0,2020,2,4,Feb
2/4/20,,Citgo,Noreaster,St.John,  Diesel (aka ULSD),21000,0,2575864,,0,0,0,2020,2,4,Feb
2/4/20,,Global ,Tug Cape Lookout,South Portland,"  2 Fuel Oil (aka FO, MGO, DMA)",25000,0,2600864,,0,0,0,2020,2,4,Feb
2/7/20,,Citgo,DBL-104,"Providence, RI",  Ethanol (aka E100),17000,0,2617864,,0,0,0,2020,2,7,Feb
2/8/20,,Buckeye,Mersini,Come By Chance,"  2 Fuel Oil (aka FO, MGO, DMA)",75000,0,2692864,,0,0,0,2020,2,8,Feb
2/9/20,,Citgo,Cape Gaui,St.John,  Diesel (aka ULSD),32000,0,2724864,,0,0,0,2020,2,9,Feb
2/9/20,,Citgo,Cape Gaui,St.John,  Unleaded Gasoline,60000,0,2784864,,0,0,0,2020,2,9,Feb
2/10/20,,Buckeye,Cape Gavi,,  Unleaded Gasoline,33000,0,2817864,,0,0,0,2020,2,10,Feb
2/11/20,,Global ,New England,,"  2 Fuel Oil (aka FO, MGO, DMA)",1452,0,2819316,,0,0,0,2020,2,11,Feb
2/12/20,,Buckeye,New England,St.John,  Unleaded Gasoline,10000,0,2829316,,0,0,0,2020,2,12,Feb
2/12/20,,Buckeye,New England,St.John,  Unleaded Gasoline,50000,0,2879316,,0,0,0,2020,2,12,Feb
2/12/20,,Buckeye,New England,St.John,  Diesel (aka ULSD),42000,0,2921316,,0,0,0,2020,2,12,Feb
2/12/20,,Buckeye,New England,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",50000,0,2971316,,0,0,0,2020,2,12,Feb
2/14/20,,Citgo,Great Eastern ,St.John,  Unleaded Gasoline,113000,0,3084316,,0,0,0,2020,2,14,Feb
2/14/20,,Buckeye,Great Eastern ,St.John,  Unleaded Gasoline,10000,0,3094316,,0,0,0,2020,2,14,Feb
2/14/20,,Buckeye,Great Eastern ,St.John,  Unleaded Gasoline,50000,0,3144316,,0,0,0,2020,2,14,Feb
2/14/20,,Buckeye,Great Eastern ,St.John,  Diesel (aka ULSD),42000,0,3186316,,0,0,0,2020,2,14,Feb
2/14/20,,Buckeye,Great Eastern ,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",50000,0,3236316,,0,0,0,2020,2,14,Feb
2/18/20,,Buckeye,East Coast,St.John,"  2 Fuel Oil (aka FO, MGO, DMA)",55000,0,3291316,,0,0,0,2020,2,18,Feb
2/18/20,,Buckeye,East Coast,St.John,  Diesel (aka ULSD),20000,0,3311316,,0,0,0,2020,2,18,Feb
2/18/20,,Buckeye,East Coast,St.John,  Unleaded Gasoline,28000,0,3339316,,0,0,0,2020,2,18,Feb
2/18/20,,Citgo,East Coast,St.John,  Unleaded Gasoline,90000,0,3429316,,0,0,0,2020,2,18,Feb
2/18/20,,Citgo,East Coast,St.John,  Diesel (aka ULSD),22000,0,3451316,,0,0,0,2020,2,18,Feb
2/18/20,,Buckeye,East Coast,St.John,  Unleaded Gasoline,55000,0,3506316,,0,0,0,2020,2,18,Feb
2/19/20,,Global ,New England,,"  2 Fuel Oil (aka FO, MGO, DMA)",2904,0,3509220,,0,0,0,2020,2,19,Feb
2/19/20,,Global ,New England,,  6 Fuel Oil (aka IFO 380),955,0,3510175,,0,0,0,2020,2,19,Feb
2/20/20,,Citgo,Tug Philadelphia,New York,  Ethanol (aka E100),20000,0,3530175,,0,0,0,2020,2,20,Feb
2/22/20,,Buckeye,New England,"Portsmouth, NH",  Diesel (aka ULSD),38000,0,3568175,,0,0,0,2020,2,22,Feb
2/22/20,,Global ,Long Island,"Bayonne, New Jersey",  6 Fuel Oil (aka IFO 380),25000,0,3593175,,0,0,0,2020,2,22,Feb
2/22/20,,Buckeye,New England,"Portsmouth, NH",  Premium Unleaded Gasoline,20000,0,3613175,,0,0,0,2020,2,22,Feb
2/22/20,,Buckeye,New England,"Portsmouth, NH",  Unleaded Gasoline,15000,0,3628175,,0,0,0,2020,2,22,Feb
