"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08"
"USW00014764","PORTLAND JETPORT, ME US","2021-01-01","2.46",,"0.02","0.2","0.0","27","35","17","  180","  190","8.9","12.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-02","9.40",,"0.61","1.4","1.2","32","38","28","   20","   90","19.9","23.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-03","6.49",,"0.00","0.0","0.0","29","31","22","   40","   50","14.1","17.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-04","9.62",,"0.00","0.0","0.0","30","36","27","   10","   10","14.1","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-05","11.41",,"0.03","1.0","0.0","30","32","28","   10","  360","17.0","21.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-06","8.72",,"0.00","0.0","1.2","32","38","28","  350","  330","17.0","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-07","10.51",,"0.00","0.0","1.2","35","41","25","  310","  320","18.1","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-08","7.83",,"0.00","0.0","0.0","29","40","20","  350","   10","19.9","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-09","9.84",,"0.00","0.0","0.0","28","34","22","  340","   20","19.9","25.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-10","6.26",,"0.00","0.0","0.0","31","40","23","  310","  320","16.1","18.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-11","2.24",,"0.00","0.0","0.0","26","33","16","  270","  200","6.0","6.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-12","2.91",,"0.00","0.0","0.0","30","41","21","  310","  310","10.1","13.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-13","3.13",,"0.00","0.0","0.0","33","37","30","  190","  190","8.9","12.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-14","3.13",,"0.00","0.0","0.0","34","37","25","  220","  210","8.1","11.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-15","5.82",,"0.02","0.0","0.0","35","43","30","  100","  110","14.1","18.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-16","13.65",,"1.41","0.0","0.0","41","48","34","   90","   90","36.0","49.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-17","14.54",,"0.00","0.0","0.0","38","41","35","  260","  270","29.1","38.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-18","10.07",,"0.00","0.0","0.0","36","40","23","  290","  290","23.9","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-19","2.68",,"0.00","0.0","0.0","26","35","18","  320","  310","8.9","11.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-20","5.82",,"0.00","0.0","0.0","27","36","18","  340","  340","18.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-21","3.36",,"0.00","0.0","0.0","21","28","13","  220","  220","12.1","14.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-22","3.58",,"0.03","1.3","1.2","28","40","20","  310","  320","8.1","8.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-23","11.86",,"0.00","0.0","1.2","26","30","13","  330","  320","21.9","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-24","15.43",,"0.00","0.0","0.0","19","31","12","  320","  320","30.0","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-25","10.74",,"0.00","0.0","0.0","23","35","13","  310","  300","23.9","33.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-26","4.92",,"0.03","0.7","0.0","26","33","15","  300","  300","13.0","15.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-27","7.16",,"0.11","1.2","1.2","29","33","27","  330","   10","10.1","14.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-28","10.07",,"0.01","0.8","2.0","30","31","17","  330","  330","23.0","33.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-29","16.55",,"0.00","0.0","1.2","17","22","10","  330","  310","25.1","36.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-30","8.72",,"0.00","0.0","1.2","13","19","7","  320","  330","18.1","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-01-31","2.46",,"0.00","0.0","1.2","13","27","2","  290","  280","6.9","10.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-02-01","10.51",,"0.06","1.1","1.2","17","29","5","   30","   30","23.0","35.1","    1",,,,,
