Id,Report Source,Category,Created at local,Closed at local,Status,Address,smell description,URL,Latitude,Longitude,Export tagged places,date,time,Day,Month,Year,Hour,Month_name,Date & time (hour rounded),epoch time,date & time,smell value,zipcode,symptoms,additional comments,smell_type
7181157,iPhone,Odor,1/7/20 8:26,1/7/20 9:20,Archived,315 Spring Street,Petroleum smell coming from south portland,https://crm.seeclickfix.com/#/organizations/611/issues/7181157,43.64774,-70.2694545,City Council District 2,1/7/20,8:26:00,7,1,2020,8,Jan,1/7/20 8:00,,,,,,,petroleum
7181402,Android,Odor,1/7/20 9:11,1/7/20 9:20,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7181402,43.6494485,-70.2686259,City Council District 2,1/7/20,9:11:00,7,1,2020,9,Jan,1/7/20 9:00,,,,,,,petroleum
7192000,Android,Odor,1/9/20 7:14,1/9/20 8:45,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7192000,43.6494485,-70.2686259,City Council District 2,1/9/20,7:14:00,9,1,2020,7,Jan,1/9/20 7:00,,,,,,,petroleum
7206428,Android,Odor,1/13/20 8:22,1/13/20 9:09,Archived,25 Cushman St,worst yet,https://crm.seeclickfix.com/#/organizations/611/issues/7206428,43.6494485,-70.2686259,City Council District 2,1/13/20,8:22:00,13,1,2020,8,Jan,1/13/20 8:00,,,,,,,petroleum
7210067,Android,Odor,1/14/20 8:24,1/14/20 14:50,Archived,25 Cushman St,"usual petroleum stink. Cushman and Reiche playing field
",https://crm.seeclickfix.com/#/organizations/611/issues/7210067,43.6494485,-70.2686259,City Council District 2,1/14/20,8:24:00,14,1,2020,8,Jan,1/14/20 8:00,,,,,,,petroleum
7210906,Android,Odor,1/14/20 11:10,1/14/20 14:50,Archived,70 India St,"India and Commercial. across from SoPo tanks. VERY strong petroleum odor. I have lung disease and it's irritating.
Time to get this litigated
",https://crm.seeclickfix.com/#/organizations/611/issues/7210906,43.6608209,-70.2506509,City Council District 1,1/14/20,11:10:00,14,1,2020,11,Jan,1/14/20 11:00,,,,,,,petroleum
7221072,Android,Odor,1/15/20 16:05,1/21/20 9:55,Archived,25 Cushman St,usual stink,https://crm.seeclickfix.com/#/organizations/611/issues/7221072,43.6494485,-70.2686259,City Council District 2,1/15/20,16:05:00,15,1,2020,16,Jan,1/15/20 16:00,,,,,,,petroleum
7224338,Android,Odor,1/16/20 8:01,1/21/20 9:55,Archived,25 Cushman St,as usual. by Reiche pool as well,https://crm.seeclickfix.com/#/organizations/611/issues/7224338,43.6494485,-70.2686259,City Council District 2,1/16/20,8:01:00,16,1,2020,8,Jan,1/16/20 8:00,,,,,,,petroleum
7242521,Android,Odor,1/21/20 7:25,1/21/20 9:55,Archived,25 Cushman St, Usual stink from Bay. Time for an update from DEP and Council. absolutely no excuses for lack of action plan,https://crm.seeclickfix.com/#/organizations/611/issues/7242521,43.6494485,-70.2686259,City Council District 2,1/21/20,7:25:00,21,1,2020,7,Jan,1/21/20 7:00,,,,,,,petroleum
7253972,Android,Odor,1/23/20 8:01,1/23/20 15:00,Archived,104 Clark St,petroleum odor very strong Cushman/Clark/ Reiche pool parking lot . ,https://crm.seeclickfix.com/#/organizations/611/issues/7253972,43.6486812,-70.2652256,City Council District 2,1/23/20,8:01:00,23,1,2020,8,Jan,1/23/20 8:00,,,,,,,petroleum
7418849,Android,Odor,2/13/20 8:30,2/13/20 8:39,Archived,25 Cushman St,again,https://crm.seeclickfix.com/#/organizations/611/issues/7418849,43.6494485,-70.2686259,City Council District 2,2/13/20,8:30:00,13,2,2020,8,Feb,2/13/20 8:00,,,,,,,petroleum
7462619,Android,Odor,2/24/20 7:18,2/24/20 8:24,Archived,342 Spring St,petrol/chemical smell in west end,https://crm.seeclickfix.com/#/organizations/611/issues/7462619,43.6469197,-70.2703141,City Council District 2,2/24/20,7:18:00,24,2,2020,7,Feb,2/24/20 7:00,,,,,,,petroleum
7492108,iPhone,Odor,3/2/20 6:21,3/2/20 8:38,Archived,55 Bowdoin St,Very potent Petrochemical/VOC  odor in my backyard,https://crm.seeclickfix.com/#/organizations/611/issues/7492108,43.64723135,-70.27484216,City Council District 2,3/2/20,6:21:00,2,3,2020,6,Mar,3/2/20 6:00,,,,,,,petroleum
