"ARRIVAL
DATE","ARRIVAL
TIME (if avail)",TERMINAL,SHIP NAME,"LAST PORT
 OF CALL (if avail)",PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL
Multiply metric tons by 7.5 for approx bbls",,RUNNING TOTAL ,PRODUCT TYPE - NON-OIL,PRODUCT AMOUNT - NON OIL,,"RUNNING TOTAL
(Specify Units)"
1/4/21,,Citgo,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"70,000",,"70,000",,,,0
1/4/21,,Citgo,Iver Prosperity,St. John ,28 - Premium Unleaded Gasoline,"32,000",,"140,000",,,,0
1/4/21,,Citgo,Iver Prosperity,St. John ,29 - Diesel (aka ULSD),"42,000",,"172,000",,,,0
1/10/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"90,000",,"214,000",,,,0
1/7/21,,Citgo,DBL-104,St. John ,34 - Ethanol (aka E-100),"15,000",,"304,000",,,,0
1/15/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"75,000",,"319,000",,,,0
1/15/21,,Citgo,New England,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","50,000",,"394,000",,,,0
1/15/21,,Citgo,New England,St. John ,29 - Diesel (aka ULSD),"25,000",,"444,000",,,,0
1/18/21,,Citgo,DBL-104,New York,34 - Ethanol (aka E-100),"15,000",,"469,000",,,,0
1/31/21,,Citgo,Great Eastern,St. John ,23 - Unleaded Gasoline,"77,000",,"484,000",,,,0
1/31/21,,Citgo,Great Eastern,St. John ,28 - Premium Unleaded Gasoline,"20,000",,"561,000",,,,0
1/31/21,,Citgo,Great Eastern,St. John ,29 - Diesel (aka ULSD),"30,000",,"581,000",,,,0
1/8/21,,Gulf,DBL-102,"New Haven, CT",34 - Ethanol (aka E-100),"28,000",,"611,000",,,,0
1/15/21,,Gulf,Fight ALS,"Perth Amboy, NJ","02 - #2 Fuel Oil (aka FO, MGO, DMA)","82,000",,"639,000",,,,0
1/19/21,,Gulf,Cape Gavi,St. John ,23 - Unleaded Gasoline,"42,000",,"721,000",,,,0
1/25/21,,Gulf,Nave Pulsar,"New Haven, CT",23 - Unleaded Gasoline,"118,000",,"763,000",,,,0
1/31/21,,Gulf,Fight ALS,New York,29 - Diesel (aka ULSD),"10,000",,"881,000",,,,0
1/9/21,,Buckeye,New England,St. John ,23 - Unleaded Gasoline,"30,000",,"891,000",,,,0
1/9/21,,Buckeye,New England,St. John ,23 - Unleaded Gasoline,"53,000",,"921,000",,,,0
1/9/21,,Buckeye,New England,St. John ,29 - Diesel (aka ULSD),"42,000",,"974,000",,,,0
1/9/21,,Buckeye,New England,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","50,000",,"1,016,000",,,,0
1/7/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"15,000",,"1,066,000",,,,0
1/14/21,,Buckeye,New England,St. John ,23 - Unleaded Gasoline,"27,000",,"1,081,000",,,,0
1/14/21,,Buckeye,New England,St. John ,29 - Diesel (aka ULSD),"20,000",,"1,108,000",,,,0
1/14/21,,Buckeye,New England,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","40,000",,"1,128,000",,,,0
1/21/21,,Buckeye,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"34,000",,"1,168,000",,,,0
1/21/21,,Buckeye,Iver Prosperity,St. John ,29 - Diesel (aka ULSD),"25,000",,"1,202,000",,,,0
1/21/21,,Buckeye,Iver Prosperity,St. John ,34 - Ethanol (aka E-100),"45,000",,"1,227,000",,,,0
1/27/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"20,000",,"1,272,000",,,,0
1/30/21,,Buckeye,Great Eastern,St. John ,23 - Unleaded Gasoline,"25,000",,"1,292,000",,,,0
1/30/21,,Buckeye,Great Eastern,St. John ,28 - Premium Unleaded Gasoline,"14,000",,"1,317,000",,,,0
1/30/21,,Buckeye,Great Eastern,St. John ,23 - Unleaded Gasoline,"30,000",,"1,331,000",,,,0
1/30/21,,Buckeye,Great Eastern,St. John ,29 - Diesel (aka ULSD),"20,000",,"1,361,000",,,,0
1/30/21,,Buckeye,Great Eastern,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","45,000",,"1,381,000",,,,0
