"ARRIVAL
DATE","ARRIVAL
TIME (if avail)",TERMINAL,SHIP NAME,"LAST PORT
 OF CALL (if avail)",PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL
Multiply metric tons by 7.5 for approx bbls",,RUNNING TOTAL ,PRODUCT TYPE - NON-OIL,PRODUCT AMOUNT - NON OIL,,"RUNNING TOTAL
(Specify Units)"
1/2/20,,Citgo,New England,St.John,23 - Unleaded Gasoline,"80,000",,"80,000",,,,0
1/2/20,,Citgo,New England,St.John,28 - Premium Unleaded Gasoline,"20,000",,"100,000",,,,0
1/2/20,,Citgo,New England,St.John,29 - Diesel (aka ULSD),"22,000",,"122,000",,,,0
1/2/20,,Citgo,New England,St.John,23 - Unleaded Gasoline,"60,000",,"182,000",,,,0
1/2/20,,Citgo,New England,St.John,23 - Unleaded Gasoline,"20,000",,"202,000",,,,0
1/2/20,,Citgo,New England,St.John,29 - Diesel (aka ULSD),"20,000",,"222,000",,,,0
1/5/20,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,"10,000",,"232,000",,,,0
1/5/20,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,"40,000",,"272,000",,,,0
1/5/20,,Buckeye,Noreaster,St.John,29 - Diesel (aka ULSD),"16,000",,"288,000",,,,0
1/5/20,,Buckeye,Noreaster,St.John,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","35,000",,"323,000",,,,0
1/6/20,,Citgo,Noreaster,St.John,23 - Unleaded Gasoline,"114,000",,"437,000",,,,0
1/6/20,,Citgo,Noreaster,St.John,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","10,000",,"447,000",,,,0
1/6/20,,Citgo,Noreaster,St.John,29 - Diesel (aka ULSD),"35,000",,"482,000",,,,0
1/8/20,,Buckeye,DBL-104,New Jersey,34 - Ethanol (aka E-100),"25,000",,"507,000",,,,0
1/9/20,,Buckeye,RTC-82,New Jersey,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","15,000",,"522,000",,,,0
1/10/20,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,"43,000",,"565,000",,,,0
1/10/20,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,"20,000",,"585,000",,,,0
1/10/20,,Buckeye,Noreaster,St.John,29 - Diesel (aka ULSD),"25,000",,"610,000",,,,0
1/10/20,,Buckeye,Noreaster,St.John,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","40,000",,"650,000",,,,0
1/11/20,,Citgo,Noreaster,St.John,23 - Unleaded Gasoline,"75,000",,"725,000",,,,0
1/11/20,,Citgo,Noreaster,St.John,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","40,000",,"765,000",,,,0
1/11/20,,Citgo,Noreaster,St.John,29 - Diesel (aka ULSD),"20,000",,"785,000",,,,0
1/13/20,,Citgo,DBL-104,New York,34 - Ethanol (aka E-100),"27,000",,"812,000",,,,0
1/13/20,,Gulf,RTC-107,New York,34 - Ethanol (aka E-100),"25,000",,"837,000",,,,0
1/14/20,,Citgo,Great Eastern ,St.John,23 - Unleaded Gasoline,"70,000",,"907,000",,,,0
1/14/20,,Citgo,Great Eastern ,St.John,23 - Unleaded Gasoline,"35,000",,"942,000",,,,0
1/15/20,,Gulf,DBL-102,New Jersey,29 - Diesel (aka ULSD),"80,000",,"1,022,000",,,,0
1/15/20,,Buckeye,DBL-102,New York,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","20,000",,"1,042,000",,,,0
