Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
1,75.59,61.0,29.82,0.0,0.0,135.0,75.59,75.6,61.2
1,75.13,61.0,29.8,0.0,0.0,135.0,75.13,75.1,60.7
0,74.72,61.0,29.79,0.0,0.0,135.0,74.72,74.7,60.5
1,74.33,62.0,29.78,0.0,0.0,135.0,74.33,74.3,60.4
0,74.11,62.0,29.76,0.0,0.0,135.0,74.11,74.1,60.2
0,73.86,63.0,29.75,0.0,0.0,135.0,73.86,73.9,60.3
0,73.62,63.0,29.74,0.0,0.0,135.0,73.62,73.6,60.2
0,73.48,64.0,29.73,0.0,0.0,135.0,73.48,73.5,60.3
0,73.4,64.0,29.72,0.0,0.0,135.0,73.4,73.4,60.5
0,73.26,64.0,29.73,0.0,0.0,135.0,73.26,73.3,60.5
0,73.17,65.0,29.73,0.0,0.0,135.0,73.17,73.2,60.7
0,73.03,65.0,29.74,0.0,0.0,135.0,73.03,73.0,60.5
1,72.94,65.0,29.76,0.0,0.0,135.0,72.94,72.9,60.7
1,73.65,66.0,29.76,0.0,0.0,135.0,73.65,73.7,61.6
0,74.25,65.0,29.78,0.0,0.0,135.0,74.25,74.3,61.8
0,74.91,65.0,29.79,0.0,0.0,135.0,74.91,74.9,62.1
0,75.05,65.0,29.8,0.0,0.0,135.0,75.05,75.1,62.4
1,75.37,64.0,29.78,0.0,0.0,135.0,75.37,75.4,62.3
0,75.27,64.0,29.77,0.0,0.0,135.0,75.27,75.3,62.4
0,75.28,64.0,29.77,0.0,0.0,135.0,75.28,75.3,62.1
0,75.44,65.0,29.75,0.0,0.0,135.0,75.44,75.4,62.7
0,75.39,65.0,29.73,0.0,0.0,135.0,75.39,75.4,62.7
0,75.32,65.0,29.72,0.0,0.0,135.0,75.32,75.3,62.7
0,75.26,66.0,29.71,0.0,0.0,135.0,75.26,75.3,63.1
0,75.33,65.0,29.69,0.0,0.0,135.0,75.33,75.3,62.8
0,75.5,66.0,29.68,0.0,0.0,135.0,75.5,75.5,63.2
0,75.27,66.0,29.69,0.0,0.0,135.0,75.27,75.3,63.1
0,74.99,66.0,29.69,0.0,0.0,135.0,74.99,75.0,62.9
0,74.6,66.0,29.69,0.0,0.0,135.0,74.6,74.6,62.5
0,74.28,66.0,29.69,0.0,0.0,135.0,74.28,74.3,62.2
0,73.95,67.0,29.68,0.0,0.0,135.0,73.95,73.9,62.1
0,73.55,67.0,29.68,0.0,0.0,135.0,73.55,73.6,61.9
0,73.31,67.0,29.68,0.0,0.0,135.0,73.31,73.3,61.7
0,73.01,67.0,29.68,0.0,0.0,135.0,73.01,73.0,61.4
0,72.62,67.0,29.68,0.0,0.0,135.0,72.62,72.6,61.0
0,72.46,67.0,29.69,0.0,0.0,135.0,72.46,72.5,60.9
1,72.1,67.0,29.7,0.0,0.0,135.0,72.1,72.1,60.3
1,73.51,66.0,29.71,0.0,0.0,135.0,73.51,73.5,61.6
1,74.62,63.0,29.72,0.0,0.0,135.0,74.62,74.6,61.1
0,74.71,64.0,29.74,0.0,0.0,135.0,74.71,74.7,61.6
0,74.88,63.0,29.75,0.0,0.0,135.0,74.88,74.9,61.4
0,75.09,62.0,29.75,0.0,0.0,135.0,75.09,75.1,61.3
0,75.2,59.0,29.75,0.0,0.0,135.0,75.2,75.2,60.1
0,75.2,58.0,29.76,0.0,0.0,135.0,75.2,75.2,59.2
1,75.46,59.0,29.76,0.0,0.0,135.0,75.46,75.5,60.0
1,75.71,59.0,29.77,0.0,0.0,135.0,75.71,75.7,60.4
0,75.6,58.0,29.78,0.0,0.0,135.0,75.6,75.6,59.8
1,75.6,57.0,29.8,0.0,0.0,135.0,75.6,75.6,59.3
0,75.22,56.0,29.82,0.0,0.0,135.0,75.22,75.2,58.4
1,75.2,56.0,29.85,0.0,0.0,135.0,75.2,75.2,58.6
1,75.12,57.0,29.87,0.0,0.0,135.0,75.12,75.1,58.8
1,74.86,57.0,29.89,0.0,0.0,135.0,74.86,74.9,58.8
0,74.4,58.0,29.91,0.0,0.0,135.0,74.4,74.4,58.5
0,74.11,58.0,29.92,0.0,0.0,135.0,74.11,74.1,58.4
1,73.8,58.0,29.94,0.0,0.0,135.0,73.8,73.8,58.1
0,73.52,58.0,29.96,0.0,0.0,135.0,73.52,73.5,57.8
0,73.28,58.0,29.98,0.0,0.0,135.0,73.28,73.3,57.6
0,73.03,58.0,29.99,0.0,0.0,135.0,73.03,73.0,57.3
0,72.73,58.0,30.01,0.0,0.0,135.0,72.73,72.7,57.1
1,72.53,58.0,30.02,0.0,0.0,135.0,72.53,72.5,56.9
0,72.29,57.0,30.04,0.0,0.0,135.0,72.29,72.3,56.2
0,72.01,57.0,30.06,0.0,0.0,135.0,72.01,72.0,55.9
1,71.9,57.0,30.07,0.0,0.0,135.0,71.9,71.9,55.8
0,71.96,57.0,30.07,0.0,0.0,135.0,71.96,72.0,55.9
1,72.13,57.0,30.08,0.0,0.0,135.0,72.13,72.1,55.8
1,72.63,56.0,30.08,0.0,0.0,135.0,72.63,72.6,56.1
0,73.41,55.0,30.06,0.0,0.0,135.0,73.41,73.4,56.3
0,74.15,55.0,30.05,0.0,0.0,135.0,74.15,74.2,56.9
1,74.8,55.0,30.04,0.0,0.0,135.0,74.8,74.8,57.4
0,75.34,54.0,30.03,0.0,0.0,135.0,75.34,75.3,57.5
1,75.67,54.0,30.03,0.0,0.0,135.0,75.67,75.7,57.9
1,75.7,53.0,30.04,0.0,0.0,135.0,75.7,75.7,57.5
1,75.7,53.0,30.05,0.0,0.0,135.0,75.7,75.7,57.3
1,75.54,53.0,30.06,0.0,0.0,135.0,75.54,75.5,57.2
1,75.22,53.0,30.08,0.0,0.0,135.0,75.22,75.2,56.9
0,74.82,53.0,30.09,0.0,0.0,135.0,74.82,74.8,56.5
1,74.39,53.0,30.09,0.0,0.0,135.0,74.39,74.4,56.1
0,74.09,53.0,30.09,0.0,0.0,135.0,74.09,74.1,55.9
0,73.81,53.0,30.08,0.0,0.0,135.0,73.81,73.8,55.6
0,73.51,53.0,30.08,0.0,0.0,135.0,73.51,73.5,55.3
0,73.31,54.0,30.08,0.0,0.0,135.0,73.31,73.3,55.6
0,73.1,54.0,30.08,0.0,0.0,135.0,73.1,73.1,55.5
0,72.89,54.0,30.09,0.0,0.0,135.0,72.89,72.9,55.3
0,72.7,54.0,30.1,0.0,0.0,135.0,72.7,72.7,55.1
1,72.55,54.0,30.12,0.0,0.0,135.0,72.55,72.5,54.9
